¿Cuál es su sexo?;¿Cuál es su año de nacimiento?;Edad;¿Cuál es su Nacionalidad?;"Ha seleccionado ""Otra"", por favor, indíquela:";Código Postal;¿Cuál es su nivel de estudios alcanzados?;Situación profesional:;"Ha seleccionado ""Otra situación"", por favor, especifique:";¿Con qué frecuencia visita la estación de esquí y montaña de Sierra Nevada en invierno?;¿Con qué frecuencia visita  la estación en conjunto? (Invierno y Verano);¿Qué opinión tiene de las actividades ofertadas?;Servicio de venta de forfaits;Servicio de atención al cliente;Colas en el Centro de Atención al Usuario (Atención al cliente y Taquillas);Colas en el acceso a los remontes;Preparación de las pistas;Número y variedad de pistas;Áreas recreativas y lúdicas para no esquiadores;Snowpark;Servicio de aparcamiento de pago (parking);Accesos por carretera a la estación de esqui, snowboard y montaña de Sierra Nevada;Movilidad en la urbanización;Mantenimiento y limpieza de la urbanización;¿Qué probabilidades hay de que recomiende Sierra Nevada a un amigo o compañero?;Created;Updated
Masculino;1996;28;Española;;23100;EGB / Primaria / ESO / FP Medio;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;6;5;1;1;5;7;6;6;3;5;6;5;8;10/1/2024 20:41;10/1/2024 20:41
Masculino;1989;35;Española;;11300;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;9;6;8;5;8;7;7;7;6;6;7;10/1/2024 20:40;10/1/2024 20:40
Femenino;1995;29;Española;;30508;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;8;5;8;9;7;9;6;8;9;9;10;9/1/2024 11:47;9/1/2024 11:47
Masculino;2002;22;Española;;46017;Grado / Licenciado / Doctorado;Estudia;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;10;10;0;10;10;10;10;10;10;0;10;0;10;9/1/2024 11:38;9/1/2024 11:38
Masculino;1978;46;Española;;41620;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;10;10;5;5;10;10;10;10;10;10;10;10;10;9/1/2024 11:36;9/1/2024 11:36
Masculino;1988;36;Española;;4400;EGB / Primaria / ESO / FP Medio;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;7;8;8;8;7;6;4;6;5;7;8;10/1/2024 20:26;10/1/2024 20:26
Masculino;1979;45;Española;;21500;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;9;9;9;9;9;0;9;0;1;8;9;8;8;10/1/2024 20:25;10/1/2024 20:25
Femenino;1991;33;Española;;4007;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;5;0;0;0;5;0;5;8;8;8;8;10/1/2024 20:22;10/1/2024 20:22
Masculino;1979;45;Española;;21500;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;9;9;9;9;9;0;9;0;1;8;9;8;8;10/1/2024 20:19;10/1/2024 20:19
Femenino;1996;28;Española;;41018;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;9;5;8;8;8;8;8;8;8;8;8;7;10/1/2024 20:15;10/1/2024 20:15
Masculino;1998;26;Española;;46011;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Muy pocas actividades, es reducida la oferta.;7;9;0;7;8;8;8;9;5;0;9;0;8;10/1/2024 20:08;10/1/2024 20:08
Masculino;1996;28;Española;;41005;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;8;6;7;8;8;6;8;7;8;7;8;10/1/2024 20:07;10/1/2024 20:07
Masculino;1995;29;Española;;30011;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;3;2;8;9;9;7;10;9;7;8;10;9/1/2024 11:32;9/1/2024 11:32
Masculino;1995;29;Española;;21700;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;10;2;8;9;10;10;1;7;8;8;10;9/1/2024 11:27;9/1/2024 11:27
Masculino;1979;45;Española;;41089;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;6;2;3;2;6;6;6;5;3;6;7;10/1/2024 19:43;10/1/2024 19:43
Femenino;1972;52;Española;;29660;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;7;1;5;3;5;5;1;1;1;5;7;10/1/2024 19:36;10/1/2024 19:36
Masculino;1984;40;Española;;41011;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;7;7;7;10;10;5;7;7;9;6;7;10;9/1/2024 11:26;9/1/2024 11:26
Masculino;1994;30;Española;;11140;Grado / Licenciado / Doctorado;Otra;Estudios y trabajo;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;5;10;3;3;10;10;7;6;7;7;7;9;10;9/1/2024 11:26;9/1/2024 11:26
Masculino;1974;50;Española;;16001;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;8;8;10;10;10;9;8;10;10;10;10;9/1/2024 10:37;9/1/2024 10:37
Masculino;1971;53;Española;;29660;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;7;5;1;5;5;5;5;1;3;3;5;7;10/1/2024 19:27;10/1/2024 19:27
Femenino;1995;29;Española;;21006;Bachiller/ FP Superior;Trabaja;;;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;10;10;5;5;8;7;5;0;8;8;6;7;10;9/1/2024 10:29;9/1/2024 10:29
Masculino;2004;20;Española;;3300;Grado / Licenciado / Doctorado;Estudia;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;10;10;0;10;10;10;10;10;10;0;10;0;10;9/1/2024 10:05;9/1/2024 10:05
Femenino;1996;28;Española;;21100;Bachiller/ FP Superior;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;5;3;7;7;5;4;3;5;5;7;7;10/1/2024 19:21;10/1/2024 19:21
Femenino;1996;28;Española;;28049;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;0;8;8;8;8;8;8;0;8;0;8;10/1/2024 19:21;10/1/2024 19:21
Masculino;1986;38;Española;;11008;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;10;10;7;5;10;10;8;7;5;6;5;6;10;9/1/2024 09:54;9/1/2024 09:54
Femenino;2010;14;Española;;41089;EGB / Primaria / ESO / FP Medio;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;7;7;7;5;6;7;6;5;7;6;6;7;7;10/1/2024 19:15;10/1/2024 19:15
Masculino;1993;31;Española;;21003;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;5;5;3;6;0;6;5;3;5;5;6;7;10/1/2024 19:11;10/1/2024 19:11
Femenino;1996;28;Española;;41920;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;9;9;9;8;10;10;7;7;7;10;10;9/1/2024 09:52;9/1/2024 09:52
Masculino;1997;27;Española;;14900;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;8;5;5;8;8;5;5;4;4;4;5;10;9/1/2024 09:43;9/1/2024 09:43
Masculino;1991;33;Española;;28049;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;10;8;0;8;8;8;8;8;8;0;8;0;8;10/1/2024 19:05;10/1/2024 19:05
Femenino;1997;27;Española;;41004;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;8;8;8;8;7;7;8;6;8;8;8;10;9/1/2024 09:36;9/1/2024 09:36
Masculino;1999;25;Española;;30008;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;5;5;8;6;4;5;4;5;4;2;4;6;8/1/2024 22:35;8/1/2024 22:35
Masculino;1993;31;Española;;29602;Bachiller/ FP Superior;Trabaja;;Entre 15 y 25 días al año;Entre 15 y 25 días al año;Muy pocas actividades, es reducida la oferta.;10;8;8;7;9;9;9;7;8;6;4;5;10;9/1/2024 09:32;9/1/2024 09:32
Masculino;1998;26;Española;;41900;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;5;10;5;7;9;7;10;7;3;7;6;10;10;9/1/2024 09:16;9/1/2024 09:16
Masculino;1981;43;Española;;41410;Bachiller/ FP Superior;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;2;4;1;8;0;7;2;4;6;4;7;8;10/1/2024 18:54;10/1/2024 18:54
Masculino;1973;51;Española;;41089;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;7;6;6;7;7;7;7;7;6;6;0;7;10/1/2024 18:49;10/1/2024 18:49
Femenino;2010;14;Española;;41089;EGB / Primaria / ESO / FP Medio;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;6;8;7;7;8;6;6;5;8;8;10/1/2024 18:48;10/1/2024 18:48
Femenino;1992;32;Española;;41807;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;5;5;5;5;5;5;5;5;5;5;10;9/1/2024 08:49;9/1/2024 08:49
Masculino;1986;38;Española;;30830;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;6;6;6;8;6;5;8;4;5;5;6;7;10/1/2024 18:44;10/1/2024 18:44
Masculino;1997;27;Española;;4006;Bachiller/ FP Superior;Estudia;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Muchas actividades, la oferta es abundante.;10;10;10;7;10;8;10;10;7;10;7;10;10;9/1/2024 08:14;9/1/2024 08:14
Femenino;1994;30;Española;;11130;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;6;3;6;6;7;7;7;6;6;8;8;8;10/1/2024 18:40;10/1/2024 18:40
Masculino;1972;52;Española;;29740;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;9;8;8;9;10;8;8;10;7;7;8;10;9/1/2024 07:39;9/1/2024 07:39
Femenino;1998;26;Española;;3700;EGB / Primaria / ESO / FP Medio;Desempleado;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;9;9;9;9;9;9;9;8;5;7;8;10;10;9/1/2024 05:50;9/1/2024 05:50
Masculino;1991;33;Española;;30009;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;5;8;8;9;5;7;2;5;2;7;6;8/1/2024 22:33;8/1/2024 22:33
Masculino;1979;45;Española;;21449;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;2;8;5;0;6;3;7;2;6;6;8/1/2024 22:09;8/1/2024 22:09
Masculino;1990;34;Española;;46009;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;7;6;5;8;8;7;8;4;7;7;8;8;10/1/2024 18:20;10/1/2024 18:20
Masculino;1986;38;Española;;30820;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;9;3;8;7;7;8;5;6;5;7;8;10/1/2024 18:14;10/1/2024 18:14
Femenino;1980;44;Española;;11130;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;6;5;7;7;7;7;7;7;5;6;7;10/1/2024 17:59;10/1/2024 17:59
Masculino;1986;38;Española;;29011;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;7;7;7;3;6;5;3;8;9;7;7;8;7;10/1/2024 17:55;10/1/2024 17:55
Masculino;1999;25;Española;;41011;Grado / Licenciado / Doctorado;Estudia;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;1;7;10;4;6;5;5;6;2;8;4;6;7;10/1/2024 17:34;10/1/2024 17:34
Femenino;2001;23;Española;;23500;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;8;8;10;8;7;7;8;4;7;10;10;10;9/1/2024 01:04;9/1/2024 01:04
Masculino;1988;36;Española;;6208;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;10;7;10;10;10;10;10;10;10;10;10;9/1/2024 00:21;9/1/2024 00:21
Masculino;1969;55;Española;;29740;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;8;8;8;8;8;8;8;8;8;8;10/1/2024 17:07;10/1/2024 17:07
Masculino;1974;50;Española;;41005;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;6;6;5;5;10;9;9;8;4;8;7;9;10;9/1/2024 00:11;9/1/2024 00:11
Masculino;1994;30;Española;;41849;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;7;7;9;9;7;7;6;7;8;8;8;10/1/2024 17:00;10/1/2024 17:00
Masculino;1986;38;Española;;10005;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;6;3;2;7;5;8;1;5;9;2;2;6;8/1/2024 21:58;8/1/2024 21:58
Masculino;2003;21;Española;;29016;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;6;6;4;0;0;0;5;0;6;7;6;5;6;8/1/2024 21:49;8/1/2024 21:49
Femenino;1995;29;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;9;6;6;7;7;7;7;7;7;9;9;10;9/1/2024 00:02;9/1/2024 00:02
Femenino;1995;29;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;9;6;6;7;7;7;7;7;7;9;9;10;9/1/2024 00:01;9/1/2024 00:01
Femenino;1995;29;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;9;6;6;7;7;7;7;7;7;9;9;10;8/1/2024 23:58;8/1/2024 23:58
Femenino;1964;60;Española;;11300;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;6;4;4;9;9;9;8;3;2;1;2;7;10/1/2024 16:31;10/1/2024 16:31
Femenino;1984;40;Española;;41010;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;3;4;4;4;8;8;3;5;5;8;4;8;7;10/1/2024 16:20;10/1/2024 16:20
Femenino;1995;29;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;9;6;6;7;7;7;7;7;7;9;9;10;8/1/2024 23:52;8/1/2024 23:52
Femenino;1995;29;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;9;6;6;7;7;7;7;7;7;9;9;10;8/1/2024 23:50;8/1/2024 23:50
Femenino;1996;28;Española;;11630;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;1;3;7;8;4;5;6;7;6;7;7;10/1/2024 16:10;10/1/2024 16:10
Masculino;1967;57;Española;;45280;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;6;4;9;10;0;0;0;6;7;7;8;10/1/2024 16:08;10/1/2024 16:08
Femenino;1989;35;Española;;30800;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;3;3;3;7;7;5;5;5;5;5;5;3;10;8/1/2024 23:12;8/1/2024 23:12
Masculino;2003;21;Española;;30510;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;4;4;6;3;6;6;8;0;5;0;9;10;8/1/2024 23:10;8/1/2024 23:10
Femenino;2000;24;Española;;46006;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;8;1;7;10;8;5;1;10;8;10;10;10/1/2024 15:09;10/1/2024 15:09
Masculino;1989;35;Española;;11130;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;3;1;8;8;8;9;1;7;7;10;8;10/1/2024 15:54;10/1/2024 15:54
Masculino;1990;34;Española;;11500;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;7;3;4;5;6;6;4;4;5;5;6;8/1/2024 20:59;8/1/2024 20:59
Masculino;1965;59;Española;;28020;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;7;5;1;6;7;8;0;6;7;4;6;8;10/1/2024 15:51;10/1/2024 15:51
Masculino;1983;41;Española;;41020;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;1;2;2;8;8;5;7;8;8;3;1;10;8/1/2024 22:32;8/1/2024 22:32
Masculino;1978;46;Española;;18006;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;1;7;5;6;8;6;5;8;8;5;5;6;8/1/2024 20:33;8/1/2024 20:33
Femenino;1991;33;Española;;18410;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Muy pocas actividades, es reducida la oferta.;10;0;4;5;10;10;0;0;5;7;3;6;10;8/1/2024 22:31;8/1/2024 22:31
Masculino;1967;57;Española;;41020;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;6;6;4;8;5;4;6;5;6;4;6;6;8/1/2024 20:08;8/1/2024 20:08
Masculino;1982;42;Española;;41006;Bachiller/ FP Superior;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;10;10;0;0;0;0;10;0;10;0;10;0;10;8/1/2024 22:27;8/1/2024 22:27
Masculino;1975;49;Española;;30010;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;2;2;2;9;9;6;5;2;7;2;2;6;8/1/2024 20:02;8/1/2024 20:02
Masculino;1976;48;Española;;14900;Grado / Licenciado / Doctorado;Trabaja;;Más de 25 días al año;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;6;1;6;5;9;5;6;6;6;6;7;7;6;8/1/2024 19:50;8/1/2024 19:50
Masculino;2007;17;Española;;41658;EGB / Primaria / ESO / FP Medio;Estudia;;;Es mi primera visita;Muchas actividades, la oferta es abundante.;10;10;0;10;10;10;10;10;10;0;10;0;10;8/1/2024 22:06;8/1/2024 22:06
Masculino;1985;39;Española;;18003;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;5;4;8;8;6;7;4;8;7;5;8;10/1/2024 15:29;10/1/2024 15:29
Masculino;1976;48;Española;;14900;Grado / Licenciado / Doctorado;Trabaja;;Más de 25 días al año;Más de 25 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;5;5;7;7;6;5;5;8;6;4;6;8/1/2024 19:46;8/1/2024 19:46
Masculino;1990;34;Española;;18014;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;7;4;6;6;8;8;0;8;9;5;8;10;8/1/2024 22:05;8/1/2024 22:05
Masculino;2002;22;Española;;18015;Bachiller/ FP Superior;Estudia;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;4;8;9;5;9;7;7;9;8;10;9;10;6;8/1/2024 19:38;8/1/2024 19:38
Femenino;1986;38;Española;;41003;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;7;7;7;8;7;7;10;9;8;8;10;8/1/2024 21:59;8/1/2024 21:59
Femenino;1992;32;Española;;41013;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;3;3;3;3;8;7;8;9;4;9;8;8;6;8/1/2024 18:31;8/1/2024 18:31
Masculino;1999;25;Española;;46006;Grado / Licenciado / Doctorado;Estudia;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;4;3;1;5;9;7;7;1;9;6;5;8;10/1/2024 15:10;10/1/2024 15:10
Masculino;1981;43;Española;;41840;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;8;7;4;2;8;6;9;9;3;3;3;3;6;8/1/2024 18:17;8/1/2024 18:17
Femenino;1998;26;Española;;3202;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;10;9;6;5;8;7;7;8;5;7;8;6;7;10/1/2024 15:09;10/1/2024 15:09
Masculino;1964;60;Española;;11300;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;6;4;9;10;9;5;3;3;2;2;7;10/1/2024 15:06;10/1/2024 15:06
Masculino;1963;61;Española;;11300;Grado / Licenciado / Doctorado;Trabaja;;;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;8;6;4;9;10;9;5;3;3;2;2;7;10/1/2024 15:03;10/1/2024 15:03
Masculino;1988;36;Española;;11130;Sin estudios o inacabada primaria;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;5;5;2;5;6;0;2;2;0;6;6;8;10/1/2024 15:02;10/1/2024 15:02
Femenino;1985;39;Española;;18008;Grado / Licenciado / Doctorado;Trabaja;;;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;7;7;5;6;7;8;7;6;6;7;7;7;8;10/1/2024 15:01;10/1/2024 15:01
Masculino;1990;34;Española;;41658;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;2;5;1;9;10;8;5;5;5;6;7;10;8/1/2024 21:57;8/1/2024 21:57
Masculino;1956;68;Española;;47165;Grado / Licenciado / Doctorado;Jubilado;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;7;5;4;6;8;7;5;6;7;5;7;8;10/1/2024 14:58;10/1/2024 14:58
Masculino;1992;32;Española;;29004;Bachiller/ FP Superior;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muchas actividades, la oferta es abundante.;6;6;4;7;8;7;7;8;8;7;9;10;10;8/1/2024 21:43;8/1/2024 21:43
Masculino;1997;27;Española;;3003;Grado / Licenciado / Doctorado;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;9;7;1;1;8;5;5;3;2;8;6;7;7;10/1/2024 14:56;10/1/2024 14:56
Masculino;1987;37;Española;;30800;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Muy pocas actividades, es reducida la oferta.;1;10;1;1;6;5;5;5;1;5;5;3;10;8/1/2024 21:34;8/1/2024 21:34
Masculino;1979;45;Española;;41005;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;7;5;2;2;5;5;6;6;7;6;6;6;8/1/2024 18:16;8/1/2024 18:16
Masculino;1968;56;Española;;11300;Grado / Licenciado / Doctorado;Trabaja;;Entre 7 y 15 días al año;Entre 7 y 15 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;5;1;1;3;8;8;5;5;1;5;1;1;7;10/1/2024 14:44;10/1/2024 14:44
Masculino;1980;44;Española;;41705;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;7;6;0;5;6;6;5;6;4;0;4;0;6;8/1/2024 18:01;8/1/2024 18:01
Masculino;1980;44;Española;;41705;Grado / Licenciado / Doctorado;Trabaja;;;Es mi primera visita;Suficientes actividades, la oferta se ajusta a las necesidades;7;6;0;5;6;6;5;6;4;0;4;0;6;8/1/2024 18:00;8/1/2024 18:00
Masculino;1989;35;Española;;10814;EGB / Primaria / ESO / FP Medio;Trabaja;;Menos de 7 días al año;Menos de 7 días al año;Suficientes actividades, la oferta se ajusta a las necesidades;8;8;8;8;8;8;8;8;8;8;8;8;8;10/1/2024 14:30;10/1/2024 14:30
